Index,airfoil,r_le,x_t,y_t,k_t,beta_te,gamm_le,x_c,y_c,k_c,alpha_te
0,a18sm,-0.009529987215695302,0.2541246250589899,0.03619319477551891,-0.32848216651664697,0.3953800858344304,0.13796423794298968,0.4756477597053844,0.03846985213404684,-0.29703951040124715,0.1529078854896288
1,ag03,-0.031705284518404125,0.24977099548671255,0.03151095154083962,-0.311211745263755,0.05634217536447955,0.2579296297058913,0.31949294877450657,0.020342596339231897,-0.20034347356594584,0.045450359035017124
2,ag04,-0.040940275418462006,0.2097799409566988,0.03216950599885717,-0.4847449193069019,0.39967559232113764,0.14393641508305552,0.3955654588858122,0.017486152762732035,-0.11064287421965659,0.043862900704017535
3,ag08,-0.0311597131610447,0.2009971178561869,0.029111084523168657,-0.45577589514695327,0.1534860500202327,0.136978555571812,0.3768563651974656,0.01825852452550983,-0.18654741051120927,0.05354873630642553
4,ag09,-0.006071473208266251,0.2,0.024223325030621728,-0.2,0.03657482658248648,0.004428208968255943,0.325264007997067,0.01866630997914592,-0.21104867967715954,0.007859699942174909
5,ag10,-0.006602333408516167,0.2000029287587543,0.023319071900326435,-0.2000569621621302,0.028955723809504928,0.028951390995886117,0.3184731434955926,0.017129201497400416,-0.1845067081027149,0.21636022116291942
6,ag11,-0.02306274418864561,0.25288918930578336,0.029246958187197886,-0.25288913153081877,0.05326646587950842,0.047539934503335365,0.279656104236948,0.023202049093938828,-0.24831192993285703,0.25018317461259154
7,ag12,-0.0034134572578489986,0.21229702051836066,0.03129038165952659,-0.4820552986439912,0.026531315245420697,0.18532328845979348,0.42579876629742813,0.01859437903388978,-0.14459789041543364,0.06572539317668509
8,ag13,-0.0027433295859861768,0.20238020925044367,0.029309958214869012,-0.48493959186942925,0.02291442573213605,0.16916181572011255,0.4228935160288844,0.01979298598845959,-0.12505778758802044,0.0646936164524037
9,ag14,-0.04998959319869813,0.20002836251271364,0.026586446904661006,-0.3992380706341768,0.01000261166871966,0.2556629917769773,0.39208010830345635,0.021271566288080294,-0.18325243257658652,0.08245917269838401
10,ag16,-0.009804067983403055,0.22803647051810944,0.03513205829339695,-0.4229171476301653,0.01004184124554703,0.15868864405108002,0.4566610847387823,0.01886290128285992,-0.16351888736572362,0.07389621242419576
11,ag17,-0.04941969769963202,0.21762912138781623,0.032143429519620875,-0.42352106839201836,0.010002001185369827,0.14506439006147367,0.45125731626822296,0.020011022934023577,-0.10321089613945685,0.06439291364138296
12,ag18,-0.0020109379290646112,0.2067719490323204,0.029360206081466066,-0.4484710121535571,0.016498492074069518,0.1972677008171423,0.43707096815108637,0.021610663049865093,-0.14087916184539825,0.06644617338619485
